656	10	150
692	7	420
932	4	929
772	9	703
324	8	91
340	7	533
180	8	635
320	9	650
752	9	458
860	9	350
744	7	269
408	9	215
428	7	1
904	10	52
996	9	809
464	8	527
952	7	831
480	7	559
24	8	467
912	7	329
520	8	133
828	8	167
732	8	73
140	8	410
624	6	578
204	9	734
212	7	149
956	9	465
964	7	640
288	5	32
12	11	281
576	8	364
728	10	687
228	6	987
712	9	472
628	10	539
452	7	661
192	6	152
100	8	305
160	6	837
492	11	285
512	10	535
644	7	97
332	2	604
112	7	984
992	8	672
676	10	695
420	6	243
184	6	578
300	11	549
632	7	852
460	7	551
544	9	504
548	8	153
808	6	837
812	10	603
532	7	605
528	7	35
696	8	74
40	7	457
832	9	669
944	5	680
136	9	900
196	7	874
168	8	843
636	12	763
388	8	910
296	8	954
96	7	175
784	9	742
524	8	359
848	2	926
556	3	710
476	7	1
216	7	483
28	9	801
292	9	385
884	9	844
92	7	307
344	9	106
336	8	41
472	8	23
664	9	566
252	9	188
896	7	873
72	9	557
248	7	517
852	6	219
988	9	734
688	6	93
736	7	258
144	10	27
652	6	77
968	10	429
824	8	74
760	6	59
84	8	145
592	7	175
404	9	339
56	9	16
920	7	979
76	8	476
704	10	19
836	8	218
756	7	269
708	10	443
740	3	7
208	7	852
436	9	87
32	4	810
124	6	304
984	6	53
164	7	481
804	7	407
948	8	920
8	9	301
768	5	236
44	6	978
88	7	31
372	9	395
684	8	707
536	11	540
820	9	51
244	7	967
440	7	10
4	6	219
600	7	979
412	7	880
876	8	334
856	6	923
892	8	141
80	8	912
672	7	228
104	8	325
352	7	818
152	5	182
368	8	964
272	10	235
796	5	722
396	9	774
236	4	810
316	9	207
552	7	184
868	7	453
20	7	977
400	8	699
612	4	2
864	8	587
256	8	882
268	10	595
816	9	655
976	10	671
588	8	109
764	7	653
888	8	635
224	9	487
668	8	714
980	7	31
568	9	563
504	8	982
120	7	233
424	9	206
200	6	137
616	5	940
608	7	653
584	7	118
908	9	87
220	6	565
572	8	693
172	9	718
916	7	66
972	6	313
264	8	471
284	9	262
444	8	95
304	5	875
620	7	907
780	8	871
496	6	243
872	5	383
60	7	61
308	8	326
176	7	688
328	9	114
360	9	297
840	7	559
516	9	550
312	9	889
52	9	387
800	10	432
936	8	415
16	8	398
156	9	84
648	7	409
720	10	534
456	5	911
376	8	646
792	8	485
36	4	918
928	7	61
64	7	44
188	8	39
748	8	600
416	9	576
380	9	90
132	9	241
924	10	539
716	10	860
680	4	556
432	9	237
364	7	725
508	10	380
640	6	351
596	10	730
108	9	46
788	9	399
500	6	351
660	4	810
148	8	528
540	10	503
564	9	851
940	4	390
280	6	238
724	10	743
276	3	698
232	10	411
116	9	157
48	7	808
240	10	816
128	9	809
260	8	843
0	6	510
560	8	334
844	8	176
700	9	217
900	8	546
880	6	565
468	9	593
448	10	358
392	5	236
604	1	5
488	7	594
960	5	253
776	7	269
484	8	751
580	4	810
356	8	966
68	6	53
384	9	339
348	8	746
893	8	99
609	9	395
129	7	442
297	8	141
769	7	610
373	7	68
369	10	224
529	8	394
641	6	53
729	6	902
473	8	364
933	5	81
909	8	714
37	10	358
185	8	954
957	10	146
201	8	713
1	6	944
