veriano	IT	45.71518	10.34943	ca' simonutti	IT	46.19384	12.93441	206.79012779870237
veriano	IT	45.71518	10.34943	lugugnana	IT	45.73277	12.95958	202.6183845599412
veriano	IT	45.71518	10.34943	pratomagno	IT	47.05486	12.14135	202.67626437036554
veriano	IT	45.71518	10.34943	molino di biauzzo	IT	45.95772	12.94272	202.69617403948962
veriano	IT	45.71518	10.34943	sottocolli	IT	46.17898	12.90283	204.03414680834186
prunaro	IT	44.49284	11.51273	pereta	IT	42.64492	11.32259	206.0493737099386
prunaro	IT	44.49284	11.51273	chioano	IT	42.77657	12.45667	205.4003271751238
prunaro	IT	44.49284	11.51273	montorso	IT	43.43742	13.64295	206.96573947994963
brolpasino	IT	45.12758	10.29477	comugna larga	IT	45.77437	12.71172	201.77641356089654
brolpasino	IT	45.12758	10.29477	punte	IT	45.74445	12.71219	200.69646093122319
brolpasino	IT	45.12758	10.29477	pianlargo	IT	46.81581	11.20158	200.37327044761392
brolpasino	IT	45.12758	10.29477	posalz	IT	46.46135	12.02795	200.1174933538229
brolpasino	IT	45.12758	10.29477	provagna	IT	46.24463	12.31336	200.02721414388137
brolpasino	IT	45.12758	10.29477	laste	IT	46.79386	11.43979	205.32997749449396
brolpasino	IT	45.12758	10.29477	panegai i	IT	45.93608	12.60553	201.18471955327576
brolpasino	IT	45.12758	10.29477	alta di pradipozzo	IT	45.78478	12.77406	206.7160423526039
brolpasino	IT	45.12758	10.29477	cleran	IT	46.68678	11.66008	203.0145054856615
brolpasino	IT	45.12758	10.29477	irrighe	IT	46.17454	12.40425	201.0797096935658
brolpasino	IT	45.12758	10.29477	brian	IT	45.59134	12.81327	203.41005117422392
brolpasino	IT	45.12758	10.29477	villanova	IT	46.36009	12.19073	201.0565480231434
brolpasino	IT	45.12758	10.29477	sarnes	IT	46.68758	11.64773	202.59485630740062
ponte d'oro	IT	43.76094	10.36378	rotondo	IT	43.49366	12.84247	201.69760657735742
ponte d'oro	IT	43.76094	10.36378	calcinelli	IT	43.75398	12.91959	205.25858587368492
ponte d'oro	IT	43.76094	10.36378	budino	IT	42.95445	12.63262	204.16853979084817
ponte d'oro	IT	43.76094	10.36378	chioano	IT	42.77657	12.45667	201.72056663417936
pezzano	IT	44.61445	10.43211	procchio	IT	42.78696	10.24372	203.7709985976752
pezzano	IT	44.61445	10.43211	galeotti	IT	43.61033	12.61537	206.98439610046591
pezzano	IT	44.61445	10.43211	calpino	IT	43.69353	12.64583	204.13768457443408
pezzano	IT	44.61445	10.43211	valcarene	IT	42.78583	10.30243	203.60025344404147
pezzano	IT	44.61445	10.43211	migliorini	IT	42.87865	11.21382	202.96675051805317
pezzano	IT	44.61445	10.43211	volpaio	IT	42.90225	11.32599	203.46937488157414
pezzano	IT	44.61445	10.43211	cornetto	IT	43.37367	12.25121	200.51686321788603
tetto albaretti	IT	44.34377	7.47431	villaggio bertani	IT	44.11451	9.99832	202.7074540009922
tetto albaretti	IT	44.34377	7.47431	pratovalente	IT	44.88928	9.93668	204.11068455249938
cisari	IT	45.39754	10.65778	savalons	IT	46.06833	13.07056	201.56367591323814
cisari	IT	45.39754	10.65778	via della battaglia	IT	45.87062	13.15476	201.13518721278692
cisari	IT	45.39754	10.65778	pradulins	IT	45.79066	13.17691	200.812262091658
cisari	IT	45.39754	10.65778	casali chiamot	IT	46.09298	13.10231	204.83440111477813
val	IT	46.38477	11.96991	sette pozzi	IT	45.12195	10.11038	201.31564553707494
val	IT	46.38477	11.96991	carpanella	IT	45.12492	10.04279	204.8766232264292
piccata	IT	44.75208	7.31163	cana	IT	44.39177	9.85541	205.43296125184892
piccata	IT	44.75208	7.31163	roccamurata	IT	44.53257	9.87572	204.31487403460144
piccata	IT	44.75208	7.31163	quaratica	IT	44.13315	9.76294	206.40492837546373
piccata	IT	44.75208	7.31163	stagnedo	IT	44.21119	9.76371	203.61085282094288
bivio lugnano	IT	43.37386	12.20107	carinella	IT	41.68617	13.05667	200.32801334124005
bivio lugnano	IT	43.37386	12.20107	torrone	IT	42.04536	13.89621	202.48801198738437
bivio lugnano	IT	43.37386	12.20107	case lago	IT	44.76503	10.49829	205.99089981122015
bivio lugnano	IT	43.37386	12.20107	case pozzi	IT	44.71603	10.48128	202.88822791545988
bivio lugnano	IT	43.37386	12.20107	casa testa	IT	44.88333	10.78333	202.4176324403124
bivio lugnano	IT	43.37386	12.20107	campo di carne	IT	41.55265	12.64114	205.70064675807774
bivio lugnano	IT	43.37386	12.20107	biasone-pallottella	IT	42.32138	14.26152	204.71444834833136
bivio lugnano	IT	43.37386	12.20107	fonte d'amore	IT	42.08262	13.93107	201.44378580486583
