petrucco masseria falce	IT	perez	IT	40.58053	15.74276	40.06311	18.01182	200.77783473307994
masseria starza	IT	fantese	IT	41.22657	15.10355	40.71569	17.41064	201.84651737173422
scialara	IT	bivio seluci	IT	41.86728	16.17278	40.07035	15.89302	201.18498729601555
scialara	IT	fenosa	IT	41.86728	16.17278	40.08267	15.62846	203.63174678098343
scialara	IT	bivio lago rotonda	IT	41.86728	16.17278	40.06794	15.88238	201.55727364530682
cappella sirino	IT	coppa di cielo	IT	40.13589	15.88144	41.93808	16.02559	200.75867198494558
vallevona	IT	recoleta	IT	41.65131	15.05847	40.25111	16.65394	205.40466098982404
bosco torre	IT	savelletri di fasano	IT	41.05916	15.01937	40.84907	17.38707	200.19657748862332
bosco torre	IT	tirunno	IT	41.05916	15.01937	40.76587	17.40599	203.17793694271677
bosco torre	IT	fantese	IT	41.05916	15.01937	40.71569	17.41064	204.60631573841505
goldoni-stiscia	IT	tirunno	IT	41.24719	15.06402	40.76587	17.40599	203.66844517342489
goldoni-stiscia	IT	fantese	IT	41.24719	15.06402	40.71569	17.41064	205.65038669031532
bosco piccolo	IT	tempi nuovi	IT	40.68858	15.85618	40.32608	18.18357	200.84653138162088
bosco piccolo	IT	roseo	IT	40.68858	15.85618	40.05558	18.09156	202.01898261000875
serra dell'edera	IT	roseo	IT	40.17751	15.66471	40.05558	18.09156	206.80482358073291
canestrelle	IT	perez	IT	40.77021	15.75277	40.06311	18.01182	206.7705478468847
canestrelle	IT	villaggio santa rita	IT	40.77021	15.75277	40.12588	18.01182	204.13556120640126
tempi nuovi	IT	bosco piccolo	IT	40.32608	18.18357	40.68858	15.85618	200.84653138162088
tempi nuovi	IT	scarpano	IT	40.32608	18.18357	40.38865	15.75207	206.13873241917233
tempi nuovi	IT	fermata tiera	IT	40.32608	18.18357	40.69841	15.81919	204.11534493059074
savelletri di fasano	IT	bosco torre	IT	40.84907	17.38707	41.05916	15.01937	200.19657748862332
savelletri di fasano	IT	marina di campagna	IT	40.84907	17.38707	40.11699	15.22204	200.37832157544432
savelletri di fasano	IT	san felice	IT	40.84907	17.38707	41.19191	15.01245	202.82360351855218
perez	IT	petrucco masseria falce	IT	40.06311	18.01182	40.58053	15.74276	200.77783473307994
perez	IT	canestrelle	IT	40.06311	18.01182	40.77021	15.75277	206.7705478468847
perez	IT	fenosa	IT	40.06311	18.01182	40.08267	15.62846	202.80393562250134
perez	IT	sorge	IT	40.06311	18.01182	40.76679	15.79416	203.39228177272807
perez	IT	petrucco	IT	40.06311	18.01182	40.58209	15.73947	201.09261238251386
perez	IT	montesano scalo	IT	40.06311	18.01182	40.28138	15.65834	201.4247745599063
perez	IT	bruciate di sopra	IT	40.06311	18.01182	40.71115	15.73687	205.7033817092974
coppa di cielo	IT	cappella sirino	IT	41.93808	16.02559	40.13589	15.88144	200.75867198494558
tirunno	IT	bosco torre	IT	40.76587	17.40599	41.05916	15.01937	203.17793694271677
tirunno	IT	goldoni-stiscia	IT	40.76587	17.40599	41.24719	15.06402	203.66844517342489
tirunno	IT	san felice	IT	40.76587	17.40599	41.19191	15.01245	206.43144094825803
tirunno	IT	orticello	IT	40.76587	17.40599	41.11267	15.03052	203.2179086973253
tirunno	IT	frolice	IT	40.76587	17.40599	41.18745	15.08562	200.34834339986068
roseo	IT	bosco piccolo	IT	40.05558	18.09156	40.68858	15.85618	202.01898261000875
roseo	IT	serra dell'edera	IT	40.05558	18.09156	40.17751	15.66471	206.80482358073291
roseo	IT	scarpano	IT	40.05558	18.09156	40.38865	15.75207	202.04539141554696
roseo	IT	fermata tiera	IT	40.05558	18.09156	40.69841	15.81919	205.32351980626783
bivio seluci	IT	scialara	IT	40.07035	15.89302	41.86728	16.17278	201.18498729601555
bivio seluci	IT	lido del sole	IT	40.07035	15.89302	41.92169	15.82538	205.9378470880959
marina di campagna	IT	savelletri di fasano	IT	40.11699	15.22204	40.84907	17.38707	200.37832157544432
marina di campagna	IT	lido del sole	IT	40.11699	15.22204	41.92169	15.82538	206.9571484290165
faccia di trippa	IT	masseria fonteromano	IT	40.88333	17.31667	41.59952	15.07967	203.27894524462283
signore	IT	villaggio santa rita	IT	40.79688	15.72979	40.12588	18.01182	206.97164901298936
fenosa	IT	scialara	IT	40.08267	15.62846	41.86728	16.17278	203.63174678098343
fenosa	IT	perez	IT	40.08267	15.62846	40.06311	18.01182	202.80393562250134
fenosa	IT	lido del sole	IT	40.08267	15.62846	41.92169	15.82538	205.15611710524465
fenosa	IT	villaggio santa rita	IT	40.08267	15.62846	40.12588	18.01182	202.75570801651352
lido del sole	IT	bivio seluci	IT	41.92169	15.82538	40.07035	15.89302	205.9378470880959
lido del sole	IT	marina di campagna	IT	41.92169	15.82538	40.11699	15.22204	206.9571484290165
lido del sole	IT	fenosa	IT	41.92169	15.82538	40.08267	15.62846	205.15611710524465
lido del sole	IT	bivio lago rotonda	IT	41.92169	15.82538	40.06794	15.88238	206.18308330228982
san felice	IT	savelletri di fasano	IT	41.19191	15.01245	40.84907	17.38707	202.82360351855218
san felice	IT	tirunno	IT	41.19191	15.01245	40.76587	17.40599	206.43144094825803
sorge	IT	perez	IT	40.76679	15.79416	40.06311	18.01182	203.39228177272807
sorge	IT	villaggio santa rita	IT	40.76679	15.79416	40.12588	18.01182	200.72923521465975
fantese	IT	masseria starza	IT	40.71569	17.41064	41.22657	15.10355	201.84651737173422
fantese	IT	bosco torre	IT	40.71569	17.41064	41.05916	15.01937	204.60631573841505
fantese	IT	goldoni-stiscia	IT	40.71569	17.41064	41.24719	15.06402	205.65038669031532
fantese	IT	orticello	IT	40.71569	17.41064	41.11267	15.03052	204.8053510947195
fantese	IT	frolice	IT	40.71569	17.41064	41.18745	15.08562	202.1751113681306
scarpano	IT	tempi nuovi	IT	40.38865	15.75207	40.32608	18.18357	206.13873241917233
scarpano	IT	roseo	IT	40.38865	15.75207	40.05558	18.09156	202.04539141554696
petrucco	IT	perez	IT	40.58209	15.73947	40.06311	18.01182	201.09261238251386
fermata tiera	IT	tempi nuovi	IT	40.69841	15.81919	40.32608	18.18357	204.11534493059074
fermata tiera	IT	roseo	IT	40.69841	15.81919	40.05558	18.09156	205.32351980626783
orticello	IT	tirunno	IT	41.11267	15.03052	40.76587	17.40599	203.2179086973253
orticello	IT	fantese	IT	41.11267	15.03052	40.71569	17.41064	204.8053510947195
montesano scalo	IT	perez	IT	40.28138	15.65834	40.06311	18.01182	201.4247745599063
montesano scalo	IT	villaggio santa rita	IT	40.28138	15.65834	40.12588	18.01182	200.61142047958555
masseria bozzelli	IT	villaggio santa rita	IT	40.81579	15.77132	40.12588	18.01182	204.45326792863264
recoleta	IT	vallevona	IT	40.25111	16.65394	41.65131	15.05847	205.40466098982404
bivio lago rotonda	IT	scialara	IT	40.06794	15.88238	41.86728	16.17278	201.55727364530682
bivio lago rotonda	IT	lido del sole	IT	40.06794	15.88238	41.92169	15.82538	206.18308330228982
frolice	IT	tirunno	IT	41.18745	15.08562	40.76587	17.40599	200.34834339986068
frolice	IT	fantese	IT	41.18745	15.08562	40.71569	17.41064	202.1751113681306
masseria fonteromano	IT	faccia di trippa	IT	41.59952	15.07967	40.88333	17.31667	203.27894524462283
